Column Name,Description
accel_bias[0],Bias correction value for the x-axis accelerometer.
accel_bias[1],Bias correction value for the y-axis accelerometer.
accel_bias[2],Bias correction value for the z-axis accelerometer.
accel_bias_limit,The maximum allowable bias correction for accelerometers.
accel_bias_stable,Indicates if the accelerometer bias is stable.
accel_bias_valid,Indicates if the accelerometer bias correction is valid.
accel_bias_variance[0],Variance of the bias correction for the x-axis accelerometer.
accel_bias_variance[1],Variance of the bias correction for the y-axis accelerometer.
accel_bias_variance[2],Variance of the bias correction for the z-axis accelerometer.
accel_calibration_count,Number of times the accelerometer has been calibrated.
accel_clipping[0],Clipping count for the x-axis accelerometer.
accel_clipping[1],Clipping count for the y-axis accelerometer.
accel_clipping[2],Clipping count for the z-axis accelerometer.
accel_device_id,Device ID of the primary accelerometer.
accel_device_id_primary,Device ID of the primary accelerometer sensor.
accel_device_ids[0],Device ID of the first accelerometer sensor.
accel_device_ids[1],Device ID of the second accelerometer sensor.
accel_device_ids[2],Device ID of the third accelerometer sensor.
accel_device_ids[3],Device ID of the fourth accelerometer sensor.
accel_error_count,Total error count for the accelerometer.
accel_fault_detected,Indicates if a fault has been detected in the accelerometer.
accel_healthy[0],Health status of the first accelerometer sensor.
accel_healthy[1],Health status of the second accelerometer sensor.
accel_healthy[2],Health status of the third accelerometer sensor.
accel_healthy[3],Health status of the fourth accelerometer sensor.
accel_inconsistency_m_s_s[0],Inconsistency in the x-axis accelerometer readings.
accel_inconsistency_m_s_s[1],Inconsistency in the y-axis accelerometer readings.
accel_inconsistency_m_s_s[2],Inconsistency in the z-axis accelerometer readings.
accel_inconsistency_m_s_s[3],Inconsistency in the fourth accelerometer readings.
accel_innov,Accelerometer innovation metric.
accel_innov_test_ratio,Test ratio for the accelerometer innovation.
accel_innov_var,Variance in the accelerometer innovation.
accel_noise_var,Variance in the accelerometer noise.
accel_priority[0],Priority of the first accelerometer sensor.
accel_priority[1],Priority of the second accelerometer sensor.
accel_priority[2],Priority of the third accelerometer sensor.
accel_priority[3],Priority of the fourth accelerometer sensor.
accel_rate_hz,Sampling rate of the accelerometer in Hz.
accel_raw_rate_hz,Raw sampling rate of the accelerometer in Hz.
accel_vibration_metric,Metric indicating the level of vibration detected by the accelerometer.
acceleration,Overall acceleration measurement.
acceleration[0],Acceleration measurement along the x-axis.
acceleration[1],Acceleration measurement along the y-axis.
acceleration[2],Acceleration measurement along the z-axis.
accelerometer_clipping,Overall clipping count for the accelerometer.
accelerometer_integral_dt,Time integral for the accelerometer.
accelerometer_m_s2[0],Acceleration in m/s² along the x-axis.
accelerometer_m_s2[1],Acceleration in m/s² along the y-axis.
accelerometer_m_s2[2],Acceleration in m/s² along the z-axis.
accelerometer_timestamp_relative,Relative timestamp for the accelerometer data.
accumulated_accel_error[0],Accumulated error for the x-axis accelerometer.
accumulated_accel_error[1],Accumulated error for the y-axis accelerometer.
accumulated_accel_error[2],Accumulated error for the z-axis accelerometer.
accumulated_accel_error[3],Accumulated error for the fourth accelerometer.
accumulated_gyro_error[0],Accumulated error for the x-axis gyroscope.
accumulated_gyro_error[1],Accumulated error for the y-axis gyroscope.
accumulated_gyro_error[2],Accumulated error for the z-axis gyroscope.
accumulated_gyro_error[3],Accumulated error for the fourth gyroscope.
