parameter,description
flags,uint32 
target_component,uint8 
yaw_rate,float32 # unitless -1..1; can be NAN
target_system,uint8 
pitch,float32 # unitless -1..1; can be NAN
origin_sysid,uint8 
GIMBAL_MANAGER_FLAGS_NEUTRAL,uint32 = 2
timestamp,uint64 # time since system start (microseconds)
GIMBAL_MANAGER_FLAGS_ROLL_LOCK,uint32 = 4
yaw,float32 # unitless -1..1; can be NAN
GIMBAL_MANAGER_FLAGS_YAW_LOCK,uint32 = 16
origin_compid,uint8 
pitch_rate,float32 # unitless -1..1; can be NAN
gimbal_device_id,uint8 
GIMBAL_MANAGER_FLAGS_RETRACT,uint32 = 1
GIMBAL_MANAGER_FLAGS_PITCH_LOCK,uint32 = 8
yaw_sp_move_rate,float32 # rad/s (commanded by user)
thrust_body,float32[3] # Normalized thrust command in body NED frame [-1;1]
fw_control_yaw_wheel,bool # control heading with steering wheel (used for auto takeoff on runway)
pitch_body,float32 # body angle in NED frame (can be NaN for FW)
reset_integral,bool # Reset roll/pitch/yaw integrals (navigation logic change)
roll_body,float32 # body angle in NED frame (can be NaN for FW)
q_d,float32[4] # Desired quaternion for quaternion control
yaw_body,float32 # body angle in NED frame (can be NaN for FW)
MAV_DISTANCE_SENSOR_LASER,uint8 = 0
sensor_type,uint8 # Type from MAV_DISTANCE_SENSOR enum.
increment,float32 # Angular width in degrees of each array element.
MAV_DISTANCE_SENSOR_INFRARED,uint8 = 2
frame,uint8 #Coordinate frame of reference for the yaw rotation and offset of the sensor data. Defaults to MAV_FRAME_GLOBAL; which is North aligned. For body-mounted sensors use MAV_FRAME_BODY_FRD; which is vehicle front aligned.
distances,uint16[72] # Distance of obstacles around the UAV with index 0 corresponding to local North. A value of 0 means that the obstacle is right in front of the sensor. A value of max_distance +1 means no obstacle is present. A value of UINT16_MAX for unknown/not used. In a array element; one unit corresponds to 1cm.
min_distance,uint16 # Minimum distance the sensor can measure in centimeters.
MAV_DISTANCE_SENSOR_ULTRASOUND,uint8 = 1
MAV_DISTANCE_SENSOR_RADAR,uint8 = 3
max_distance,uint16 # Maximum distance the sensor can measure in centimeters.
MAV_FRAME_LOCAL_NED,uint8 = 1
MAV_FRAME_GLOBAL,uint8 = 0
angle_offset,float32 # Relative angle offset of the 0-index element in the distances array. Value of 0 corresponds to forward. Positive values are offsets to the right.
MAV_FRAME_BODY_FRD,uint8 = 12
FAILURE_ARM_ESC,uint16 = 16 # (1 << 4)
NAVIGATION_STATE_TERMINATION,uint8 = 13 # Termination mode
in_transition_mode,bool # True if VTOL is doing a transition
component_id,uint8 # subsystem / component id; contains MAVLink's component ID field
safety_button_available,bool # Set to true if a safety button is connected
hil_state,uint8 
ARM_DISARM_REASON_UNIT_TEST,uint8 = 13
arming_state,uint8 
usb_connected,bool # set to true (never cleared) once telemetry received from usb link
system_type,uint8 # system type; contains mavlink MAV_TYPE
gcs_connection_lost_counter,uint8 # counts unique GCS connection lost events
calibration_enabled,bool 
power_input_valid,bool # set if input power is valid
NAVIGATION_STATE_STAB,uint8 = 15 # Stabilized mode
NAVIGATION_STATE_OFFBOARD,uint8 = 14
NAVIGATION_STATE_MANUAL,uint8 = 0 # Manual mode
NAVIGATION_STATE_UNUSED1,uint8 = 11 # Free slot
NAVIGATION_STATE_AUTO_TAKEOFF,uint8 = 17 # Takeoff
system_id,uint8 # system id; contains MAVLink's system ID field
NAVIGATION_STATE_ACRO,uint8 = 10 # Acro mode
armed_time,uint64 # Arming timestamp (microseconds)
NAVIGATION_STATE_UNUSED,uint8 = 9 # Free slot
ARM_DISARM_REASON_LOCKDOWN,uint8 = 10
latest_arming_reason,uint8 
FAILURE_BATTERY,uint16 = 32 # (1 << 5)
failure_detector_status,uint16 
parachute_system_healthy,bool 
nav_state,uint8 # Currently active mode
